Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run,Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
D Lemaster,P,90.0,105.0,3.58,357.0,249.0,66.0,14.0,8.0,11.0,1787.2,1703.0,778.0,712.0,184.0,24.0,600.0,1305.0,1.29,0.249
F Norman,P,104.0,103.0,3.64,403.0,268.0,56.0,15.0,8.0,10.0,1939.2,1790.0,864.0,784.0,188.0,23.0,815.0,1303.0,1.34,0.246
P Dobson,P,122.0,129.0,3.54,414.0,279.0,74.0,14.0,19.0,23.0,2120.1,2043.0,939.0,833.0,197.0,26.0,665.0,1301.0,1.28,0.255
R Hill,P,82.0,60.0,3.85,351.0,222.0,4.0,2.0,0.0,2.0,1264.0,1068.0,577.0,541.0,153.0,73.0,484.0,1301.0,1.23,0.228
R Fingers,P,114.0,118.0,2.91,944.0,37.0,4.0,2.0,341.0,361.0,1701.1,1474.0,616.0,550.0,123.0,39.0,492.0,1299.0,1.16,0.235
D Segui,P,92.0,111.0,3.81,639.0,171.0,28.0,7.0,71.0,82.0,1807.2,1656.0,867.0,765.0,185.0,18.0,786.0,1298.0,1.35,0.243
J Vander Meer,P,119.0,121.0,3.44,346.0,286.0,131.0,29.0,2.0,0.0,2104.2,1799.0,915.0,805.0,100.0,21.0,1132.0,1294.0,1.39,0.232
P Hentgen,P,131.0,112.0,4.32,344.0,306.0,34.0,10.0,1.0,1.0,2075.1,2111.0,1076.0,996.0,269.0,49.0,775.0,1290.0,1.39,0.264
J Blanton,P,101.0,97.0,4.38,427.0,252.0,8.0,3.0,2.0,3.0,1767.2,1896.0,914.0,860.0,223.0,41.0,467.0,1284.0,1.34,0.273
J Smiley,P,126.0,103.0,3.8,361.0,280.0,28.0,8.0,4.0,4.0,1907.2,1842.0,888.0,806.0,185.0,39.0,496.0,1284.0,1.23,0.255
D Wilson,P,104.0,92.0,3.15,266.0,245.0,78.0,20.0,2.0,2.0,1748.1,1479.0,698.0,611.0,119.0,47.0,640.0,1283.0,1.21,0.228
D McLain,P,131.0,91.0,3.39,280.0,264.0,105.0,29.0,2.0,2.0,1886.0,1646.0,778.0,711.0,242.0,26.0,548.0,1282.0,1.16,0.234
M Dickson,P,172.0,181.0,3.66,625.0,338.0,149.0,27.0,23.0,0.0,3052.1,3029.0,1431.0,1240.0,302.0,37.0,1058.0,1281.0,1.34,0.26
W Rodriguez,P,97.0,98.0,4.1,275.0,263.0,2.0,2.0,0.0,0.0,1557.1,1560.0,796.0,710.0,185.0,53.0,534.0,1281.0,1.34,0.26
W Miley,P,99.0,94.0,4.13,292.0,285.0,3.0,2.0,0.0,0.0,1618.0,1663.0,797.0,742.0,178.0,41.0,563.0,1280.0,1.38,0.266
B Gullickson,P,162.0,136.0,3.93,398.0,390.0,54.0,11.0,0.0,0.0,2560.0,2659.0,1228.0,1118.0,282.0,34.0,622.0,1279.0,1.28,0.268
C Nagy,P,129.0,105.0,4.51,318.0,297.0,31.0,6.0,0.0,0.0,1954.2,2188.0,1061.0,980.0,217.0,51.0,586.0,1242.0,1.42,0.284
V Mungo,P,120.0,115.0,3.48,364.0,259.0,123.0,20.0,16.0,0.0,2113.0,1957.0,959.0,816.0,89.0,33.0,868.0,1242.0,1.34,0.245
